                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7894,                 3.4218,                  2.295,                 0.7394,                0.28735,                0.31232,                0.15274,                 1.9211,                 2.0699,                 1.7648,               0.003331,               0.003331,               0.003331
                      2,                 1.9597,                 1.8971,                 1.6899,                0.86024,                0.40568,                0.46589,                0.24006,                 1.7361,                 1.3293,                  1.605,              0.0065324,              0.0065324,              0.0065324
                      3,                  1.794,                 1.4765,                 1.5526,                0.90817,                0.46577,                0.54266,                0.28025,                 1.6683,                 1.1126,                 1.5252,              0.0096017,              0.0096017,              0.0096017
                      4,                 1.6979,                 1.2668,                 1.4839,                0.92091,                0.50479,                0.57213,                0.30851,                 1.5998,                 0.9825,                 1.4528,               0.009406,               0.009406,               0.009406
                      5,                 1.6209,                 1.1358,                 1.4372,                0.92498,                 0.5088,                0.57826,                0.31404,                 1.6181,                0.92687,                 1.4562,               0.009208,               0.009208,               0.009208
                      6,                 1.5725,                 1.0725,                 1.4056,                 0.9224,                0.52977,                 0.5933,                0.34438,                 1.4595,                0.82561,                 1.3592,                0.00901,                0.00901,                0.00901
                      7,                  1.544,                 1.0209,                 1.3803,                0.93533,                0.54582,                0.60538,                0.35733,                 1.4292,                0.78202,                 1.3327,               0.008812,               0.008812,               0.008812
                      8,                 1.5131,                0.98385,                 1.3542,                0.93547,                0.55149,                0.60503,                0.35542,                 1.4473,                0.78038,                 1.3364,               0.008614,               0.008614,               0.008614
                      9,                 1.4923,                0.95025,                 1.3372,                0.93032,                 0.5547,                0.60727,                0.36515,                 1.4027,                0.75693,                 1.3078,               0.008416,               0.008416,               0.008416
                     10,                 1.4769,                0.93308,                 1.3305,                0.93995,                0.56032,                0.61513,                0.37017,                 1.3929,                0.73637,                 1.3006,               0.008218,               0.008218,               0.008218
                     11,                 1.4713,                0.91887,                 1.3254,                0.93668,                0.56478,                0.61745,                0.36617,                 1.4098,                0.72244,                 1.3076,                0.00802,                0.00802,                0.00802
                     12,                 1.4526,                0.89855,                 1.3158,                0.94033,                0.56865,                0.61867,                0.37986,                 1.3616,                 0.7034,                 1.2849,               0.007822,               0.007822,               0.007822
                     13,                 1.4413,                0.88751,                  1.307,                0.94411,                0.56808,                0.62017,                0.37773,                 1.3714,                0.69444,                 1.2839,               0.007624,               0.007624,               0.007624
                     14,                 1.4297,                0.87565,                 1.3036,                0.93632,                0.57661,                0.62609,                0.37837,                 1.3741,                0.68377,                 1.2826,               0.007426,               0.007426,               0.007426
                     15,                 1.4282,                0.87042,                 1.2914,                0.94215,                0.57956,                0.62462,                0.38358,                 1.3515,                0.67516,                 1.2682,               0.007228,               0.007228,               0.007228
                     16,                 1.4163,                0.85834,                 1.2821,                0.93609,                0.58558,                0.62957,                0.38735,                 1.3465,                0.67482,                 1.2647,                0.00703,                0.00703,                0.00703
                     17,                 1.4121,                0.85452,                 1.2796,                0.94571,                0.57781,                0.62955,                0.38498,                 1.3545,                0.67377,                 1.2662,               0.006832,               0.006832,               0.006832
                     18,                 1.4043,                0.84062,                 1.2712,                0.94853,                0.57549,                0.63063,                0.38858,                 1.3423,                0.66382,                 1.2587,               0.006634,               0.006634,               0.006634
                     19,                 1.3999,                0.83541,                 1.2661,                 0.9487,                 0.5838,                0.63549,                0.39175,                 1.3381,                0.65178,                 1.2517,               0.006436,               0.006436,               0.006436
                     20,                 1.3928,                0.83037,                 1.2591,                0.94443,                0.58663,                0.63726,                 0.3915,                 1.3432,                 0.6563,                 1.2516,               0.006238,               0.006238,               0.006238
                     21,                 1.3863,                0.81758,                 1.2539,                0.94787,                 0.5872,                0.63797,                0.39772,                 1.3251,                0.64184,                 1.2418,                0.00604,                0.00604,                0.00604
